index,title,soup
36,Without a Trace,series victims lives reveal finds missing people special fbi persons squad applying advanced psychological profiling without trace english hanksteinberg anthonylapaglia poppymontgomery enriquemurciano crime drama mystery thriller
37,Easy,culture friends intertwined groups technology modern maze sex love chicago fumble easy english joeswanberg michaelchernus janeadams elizabethreaser comedy
38,The Haves and the Have Nots,nots harrington families cryers whose lives intertwine haves rich cryer poor young family hanna starts working centers haves nots english tylerperry tikasumpter johnschneider crystalfox crime drama mystery romance
39,Safe,teenage daughter goes missing people closest widowed surgeon begins uncovering dark secrets safe english harlancoben michaelc.hall amyjames-kelly amandaabbington crime drama mystery thriller
40,"Don't Toy with Me, Miss Nagatoro",whatever interest ... drawings aspiring artist cruel game force senpai friends stumble upon free time find enjoyment one thing visits nagatoro resolves high schooler hayase loves mercilessly bullying daily timid continue bully spend toy miss nagatoro japanese sumireuesaka daikiyamashita mikakokomatsu na animation comedy romance
41,Broad City,daily lives disturbing smallest broad city follows two women throughout mundane events hysterical making watch new york time broad city english ilanaglazer abbijacobson ilanaglazer abbijacobson hannibalburess comedy
42,Family Matters,many pesky next nerd steve urkel winslow family deal door neighbor ultra caused various misadventures family matters english williambickley robertl.boyett thomasl.miller reginaldveljohnson jaleelwhite kellieshanygnewilliams adventure comedy drama family sci-fi
43,Smother,family party responsible might cliff secrets find found dead rugged coast husband foot val ahern dig county clare morning matriarch starts smother english kateo'riordan dervlakirwan gemma-leahdevereux niamhwalsh thriller
44,All Creatures Great and Small,numerous adventures friendly staff 1940s yorkshire 1930s country veterinarian practice creatures great small english nicholasralph annamadeley samuelwest na comedy drama
45,Le Bureau des Légendes,train six years undercover work young recruit investigate colleague disappears forget syria algeria struggles french intelligence officer malotru returns home identity le bureau des légendes french arabic english persian russian ericrochant mathieukassovitz florenceloiretcaille jonathanzaccaï drama
46,"Welcome Back, Kotter",inner city high school new generation trouble making kids compassionate teacher returns youth teach welcome back kotter na gabekaplan alansacks petermeyerson gabekaplan ronpalillo johntravolta comedy
47,MacGyver,adventures almost infinite scientific resourcefulness secret agent armed macgyver english leedavidzlotoff richarddeananderson danaelcar brucemcgill action adventure crime drama
48,Batman,caped crusader gotham city young ward battle evildoers batman english lorenzosemplejr. williamdozier adamwest burtward alannapier action adventure comedy crime fantasy sci-fi
49,Calls,told mysterious story series disarray lead chronicles thrown apocalyptic event interconnected phone conversation group strangers whose lives calls english fedealvarez aubreyplaza clancybrown nikafutterman drama horror mystery thriller
50,The One,creates find perfect partner dna researcher helps discover love -- bold new matchmaking service way lies spiral one english portuguese hannahware dimitrileonidas diarmaidmurtagh na crime drama sci-fi thriller
51,Heartbeat,adventures medical staff aidensfield ashfordly residents police constabulary 1960s lives heartbeat english williamsimons derekfowlds triciapenrose na drama comedy crime
52,Zoo,find causing young scientist searches violent animal attacks rash zoo english joshappelbaum andrénemec jeffpinkner jameswolk kristenconnolly nonsoanozie drama mystery sci-fi thriller
