,index,title,year,language,episode_season_duration,genre,creators,stars,description,rating,trailer,weighted_rating,nameurls,soup
4320,4320,Gakusen Toshi Asterisk,2015– ,Japanese,23min,"Animation,Action,Comedy,Fantasy,Romance,Sci-Fi","Atsushi Tamaru,Ai Kakuma,Kira Buckland",,"The Academy City on the water, Rikka (also known as Asterisk) is the world's largest stage for the integrated battle entertainment, ""Star Wars Festival."" The young boys and girls of the ""Starpulse Generation"" belonging to the six academies made their wishes with Shining Armaments in their hands, vying for supremacy-Amagiri Ayato is one of them.",6.9,,6.871556192632417,"<a href=""http://gakusen-toshi-asterisk.wikia.com/wiki/Gakusen_Toshi_Asterisk_Wiki"">Japanese anime series</a>","one largest stage integrated battle entertainment amagiri ayato hands young boys supremacy world also known starpulse generation asterisk star wars festival ."" shining armaments belonging rikka girls water academy city wishes six academies made vying gakusen toshi asterisk japanese atsushitamaru aikakuma kirabuckland na animation action comedy fantasy romance sci-fi"
4321,4321,Shang Yang Fu,2021,Chinese,,"Drama,History,Romance","Yiwei Zhou,Hewei Yu,Tony Yo-ning Yang",,Intense power play between the royals as they all fight for a better kingdom for everyone.,8.0,,7.988118719235145,"<a href=""https://www.ricedrama.com/rebel-princess//"">Rice Drama</a>",everyone fight intense power play royals better kingdom shang yang fu chinese yiweizhou heweiyu tonyyo-ningyang na drama history romance
4322,4322,Late Night with Seth Meyers,2014– ,English,1h,"Comedy,Talk-Show","Seth Meyers,Fred Armisen,The 8G Band",,Seth Meyers hosts a late-night talk show.,6.1,,6.222758071619744,"<a href=""https://www.facebook.com/LateNightSeth/"">Official Facebook</a>, <a href=""https://www.instagram.com/latenightseth/"">Official Instagram</a>",night talk show late seth meyers hosts late night seth meyers english sethmeyers fredarmisen the8gband na comedy talk-show
4323,4323,Sikago Tajagi,2017,Korean,1h 10min,"Drama,Fantasy,Romance","Yoo Ah-in,Lim Soo-jung,Go Kyung-Pyo",,"Writers that lived under Japanese rule in the 1930's are reincarnated into a bestselling writer who is in a slump, a mysterious ghostwriter and a devoted fan of the bestselling writer.",8.3,,0.0,"<a href=""http://program.tving.com/tvn/chicagotypewriter"">Official site (South Korea)</a>",lived writers slump japanese rule reincarnated bestselling writer 1930 devoted fan mysterious ghostwriter sikago tajagi korean yooah-in limsoo-jung gokyung-pyo na drama fantasy romance
4324,4324,Hidden Palms,2007,English,,"Drama,Mystery,Romance",Kevin Williamson,"Michael Cassidy,Taylor Handley,Amber Heard",A rebellious teenager moves with his family to Palm Springs.,6.8,,6.810798399689547,"<a href=""http://cwtv.com/shows/hidden-palms"">CW</a>",family palm springs rebellious teenager moves hidden palms english kevinwilliamson michaelcassidy taylorhandley amberheard drama mystery romance
4325,4325,Flipper,1995–2000,English,1h,"Action,Adventure,Drama,Family,Mystery","Michael Nankin,Ernie Wallengren,Reuben Leder","Jessica Alba,Laura Donaldson,Whip Hubley",Dr. Keith Ricks returns to Florida to lead a team of scientists studying dolphins.,5.4,,5.401961055296266,,florida team keith ricks returns dr scientists studying dolphins lead flipper english michaelnankin erniewallengren reubenleder jessicaalba lauradonaldson whiphubley action adventure drama family mystery
4326,4326,Moloch,2020– ,French,52min,"Crime,Drama,Fantasy,Thriller","Olivier Gourmet,Marine Vacth,Marc Zinga",,"In an industrial seaside town, strangers burst into flames for no reason. Suicides? Murders? Supernatural phenomena? To find out, Louise, a young journalist, and Gabriel, a psychiatrist, go to investigate.",6.1,,6.106413348684756,"<a href=""https://rights.mediawan.com/world-catalogue/drama/program/4476"">AB International Distribution (France)</a>, <a href=""https://robinandco.com/moloch/"">CALT Productions (France)</a>",gabriel flames supernatural phenomena investigate strangers burst go find louise suicides murders psychiatrist young journalist industrial seaside town reason moloch french oliviergourmet marinevacth marczinga na crime drama fantasy thriller
4327,4327,Zindagi InShort,2020,Hindi,1h 56min,"Comedy,Drama,Romance","Deepak Dobriyal,Divya Dutta,Neena Gupta",,"An anthology of 7 heart-warming stories, Zindagi inShort glimpses into various moments of ordinary lives. The circumstances that we live in, we ignore our loved ones, we madly focus on our careers, we stop thinking about them.",7.2,https://imdb.com/video/vi3467886105?playlistId=tt11813946&ref_=tt_ov_vi,7.199114031424403,"<a href=""https://www.flipkart.com/flipkart-video-dt-store?id=916829"">Flipkart App</a>",loved ones madly focus anthology careers circumstances live 7 heart ignore various moments warming stories stop thinking ordinary lives zindagi inshort glimpses zindagi inshort hindi deepakdobriyal divyadutta neenagupta na comedy drama romance
4328,4328,The Suspicions of Mr Whicher,2011–2014,English,,"Crime,Drama,Mystery","Paddy Considine,Tim Pigott-Smith,William Beck",,"The Suspicions of Mr Whicher premiered in 2011 and starred Paddy Considine as Jonathan 'Jack' Whicher, a detective leading the investigation into a notorious child murder in the 1860s. The two-hour drama was an adaptation of Kate Summerscale's novel of the same name. A follow-up story, The Murder In Angel Lane was broadcast in May 2013 and saw Whicher working as a pri...",7.8,,7.79602763386817,,kate summerscale 2011 jack mr whicher premiered starred paddy considine adaptation saw working pri ... name may 2013 detective leading two hour drama angel lane follow suspicions notorious child murder novel broadcast jonathan 1860s investigation story suspicions mr whicher english paddyconsidine timpigott-smith williambeck na crime drama mystery
4329,4329,Bluff City Law,2019,English,43min,Drama,"Michael Aguilar,Dean Georgaris","Jimmy Smits,Caitlin McGee,Barry Sloane",Lawyers at an elite Memphis law firm specialize in controversial landmark civil rights cases.,6.8,https://imdb.com/video/vi1117175577?playlistId=tt10312776&ref_=tt_ov_vi,6.813974399598237,,elite memphis law firm specialize controversial landmark civil rights cases lawyers bluff city law english michaelaguilar deangeorgaris jimmysmits caitlinmcgee barrysloane drama
4330,4330,Up All Night,2011–2012,English,22min,Comedy,Emily Spivey,"Christina Applegate,Maya Rudolph,Will Arnett","Takes an irreverent look at parenthood through the point of view of an acerbic working mother, along with her stay-at-home husband and opinionated parents.",6.5,https://imdb.com/video/vi2669853977?playlistId=tt1843323&ref_=tt_ov_vi,6.542068553714809,,along point stay irreverent look acerbic working mother view takes home husband opinionated parents parenthood night english emilyspivey christinaapplegate mayarudolph willarnett comedy
