title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Outer Banks,2020– ,English,50min,"Action,Crime,Drama,Mystery,Romance,Thriller","Shannon Burke,Jonas Pate,Josh Pate","Chase Stokes,Madelyn Cline,Madison Bailey",Official Netflix,https://www.netflix.com/title/80236318,A group of teenagers from the wrong side of the tracks stumble upon a treasure map that unearths a long buried secret.,22000,7.6,https://imdb.com/video/vi2352988185?playlistId=tt10293938&ref_=tt_ov_vi
How to Get Away with Murder,2014–2020,"English,Spanish",43min,"Crime,Drama,Mystery,Thriller",Peter Nowalk,"Viola Davis,Billy Brown,Jack Falahee","Official Facebook,Official site","https://www.facebook.com/HowToGetAwayWithMurder,http://abc.go.com/shows/how-to-get-away-with-murder",A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,134000,8.1,https://imdb.com/video/vi1788982809?playlistId=tt3205802&ref_=tt_ov_vi
Mayans M.C.,2018– ,English,1h,"Crime,Drama,Thriller","Elgin James,Kurt Sutter","JD Pardo,Clayton Cardenas,Sarah Bolger",Official site,https://www.fxnetworks.com/shows/mayans-mc,"Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.",14000,7.6,https://imdb.com/video/vi677493785?playlistId=tt5715524&ref_=tt_ov_vi
13 Reasons Why,2017–2020,English,1h,"Drama,Mystery,Thriller",Brian Yorkey,"Dylan Minnette,Katherine Langford,Christian Navarro","Official Facebook,Official Netflix","https://www.facebook.com/13ReasonsWhy/,https://www.netflix.com/title/80117470","Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",263000,7.6,https://imdb.com/video/vi63356441?playlistId=tt1837492&ref_=tt_ov_vi
Jujutsu Kaisen,2020– ,Japanese,24min,"Animation,Action,Adventure,Fantasy,Thriller","Junya Enoki,Yûichi Nakamura,Yuma Uchida",,"Official Netflix,Official site","https://www.netflix.com/title/81278456?preventIntent=true,https://jujutsukaisen.jp/",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,20000,8.8,https://imdb.com/video/vi1065664793?playlistId=tt12343534&ref_=tt_ov_vi
Your Honor,2020–2021,English,57min,"Crime,Drama,Thriller",Peter Moffat,"Bryan Cranston,Hunter Doohan,Hope Davis",SHOWTIME,https://www.sho.com/your-honor,"A judge confronts his convictions when his son is involved in a hit and run that embroils an organized crime family. Facing impossible choices, he discovers how far a father will go to save his son's life.",35000,7.6,https://imdb.com/video/vi3186082073?playlistId=tt7440726&ref_=tt_ov_vi
What We Do in the Shadows,2019– ,English,30min,"Comedy,Fantasy,Horror",Jemaine Clement,"Kayvan Novak,Matt Berry,Natasia Demetriou",FX Networks,https://www.fxnetworks.com/shows/what-we-do-in-the-shadows,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",40000,8.5,https://imdb.com/video/vi3027810841?playlistId=tt7908628&ref_=tt_ov_vi
Last Man Standing,2011–2021,English,30min,Comedy,Jack Burditt,"Tim Allen,Nancy Travis,Hector Elizondo","Official Site,Official Twitter","https://www.fox.com/last-man-standing/,https://twitter.com/LastManStanding",A married father of three tries to maintain his manliness in a world increasingly dominated by women.,30000,7.5,https://imdb.com/video/vi3629038361?playlistId=tt1828327&ref_=tt_ov_vi
Batwoman,2019– ,English,45min,"Action,Adventure,Crime,Drama,Sci-Fi",Caroline Dries,"Camrus Johnson,Rachel Skarsten,Meagan Tandy","Official Facebook,Official Instagram","https://www.facebook.com/CWBatwoman/,https://www.instagram.com/cwbatwoman/",Batwoman seeks justice for Gotham City.,35000,3.4,https://imdb.com/video/vi86491417?playlistId=tt8712204&ref_=tt_ov_vi
Mom,2013–2021,English,30min,"Comedy,Drama,Romance","Gemma Baker,Eddie Gorodetsky,Chuck Lorre","Allison Janney,Anna Faris,Mimi Kennedy",Official Site,https://www.cbs.com/shows/mom/,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,30000,7.2,https://imdb.com/video/vi1090889241?playlistId=tt2660806&ref_=tt_ov_vi
